20 November  2007   9:13:28.388 AM      
 
MD
  FORTRAN77 version
 
  A molecular dynamics program.
 
  The number of processors available:
  OMP_GET_NUM_PROCS () =        1
 
  The number of threads is        1
 
  This is processor        0
 
      Step      Pot Energy      Kin Energy     (P+K-E0)/E0
 
     208   124434.      0.294555      0.223412E-11
     209   124434.      0.297416      0.206197E-11
     210   124434.      0.300291      0.188784E-11
     211   124434.      0.303180      0.171055E-11
     212   124434.      0.306083      0.153490E-11
     213   124434.      0.308999      0.135609E-11
     214   124434.      0.311930      0.117623E-11
     215   124434.      0.314874      0.992395E-12
     216   124434.      0.317833      0.807856E-12
     217   124434.      0.320805      0.622615E-12
     218   124434.      0.323791      0.436556E-12
     219   124434.      0.326790      0.245234E-12
     220   124434.      0.329804      0.537947E-13
     221   124434.      0.332832     -0.138931E-12
     222   124434.      0.335873     -0.332475E-12
     223   124434.      0.338928     -0.528942E-12
     224   124434.      0.341997     -0.727632E-12
     225   124434.      0.345080     -0.927257E-12
     226   124433.      0.348177     -0.113355E-11
     227   124433.      0.351288     -0.133832E-11
     228   124433.      0.354412     -0.153876E-11
     229   124433.      0.357550     -0.174938E-11
     230   124433.      0.360703     -0.195743E-11
     231   124433.      0.363869     -0.216465E-11
     232   124433.      0.367049     -0.238357E-11
     233   124433.      0.370242     -0.259571E-11
     234   124433.      0.373450     -0.281452E-11
     235   124433.      0.376672     -0.303180E-11
     236   124433.      0.379907     -0.325505E-11
     237   124433.      0.383156     -0.347654E-11
     238   124433.      0.386419     -0.370248E-11
     239   124433.      0.389696     -0.392666E-11
     240   124433.      0.392987     -0.415576E-11
     241   124433.      0.396292     -0.438497E-11
     242   124433.      0.399611     -0.461675E-11
     243   124433.      0.402943     -0.485322E-11
     244   124433.      0.406289     -0.508722E-11
     245   124433.      0.409650     -0.532544E-11
     246   124433.      0.413024     -0.556717E-11
     247   124433.      0.416412     -0.580749E-11
     248   124433.      0.419813     -0.605050E-11
     249   124433.      0.423229     -0.629749E-11
     250   124433.      0.426659     -0.654541E-11
     251   124433.      0.430102     -0.679497E-11
     252   124433.      0.433559     -0.705085E-11
     253   124433.      0.437030     -0.730193E-11
     254   124433.      0.440516     -0.756225E-11
     255   124433.      0.444014     -0.781438E-11
     256   124433.      0.447527     -0.807879E-11
     257   124433.      0.451054     -0.833865E-11
     258   124433.      0.454594     -0.860575E-11
     259   124433.      0.458149     -0.887098E-11
     260   124433.      0.461717     -0.913948E-11
     261   124433.      0.465299     -0.940916E-11
     262   124433.      0.468895     -0.968293E-11
     263   124433.      0.472505     -0.995716E-11
     264   124433.      0.476129     -0.102348E-10
     265   124433.      0.479767     -0.105160E-10
     266   124433.      0.483418     -0.107940E-10
     267   124433.      0.487083     -0.110795E-10
     268   124433.      0.490763     -0.113660E-10
     269   124433.      0.494456     -0.116520E-10
     270   124433.      0.498163     -0.119404E-10
     271   124433.      0.501884     -0.122362E-10
     272   124433.      0.505619     -0.125295E-10
     273   124433.      0.509367     -0.128270E-10
     274   124433.      0.513130     -0.131244E-10
     275   124433.      0.516907     -0.134288E-10
     276   124433.      0.520697     -0.137277E-10
     277   124433.      0.524501     -0.140362E-10
     278   124433.      0.528319     -0.143458E-10
     279   124433.      0.532151     -0.146554E-10
     280   124433.      0.535997     -0.149652E-10
     281   124433.      0.539857     -0.152770E-10
     282   124433.      0.543731     -0.155948E-10
     283   124433.      0.547618     -0.159129E-10
     284   124433.      0.551520     -0.162343E-10
     285   124433.      0.555435     -0.165596E-10
     286   124433.      0.559364     -0.168866E-10
     287   124433.      0.563307     -0.172141E-10
     288   124433.      0.567264     -0.175442E-10
     289   124433.      0.571235     -0.178762E-10
     290   124433.      0.575220     -0.182129E-10
     291   124433.      0.579219     -0.185484E-10
     292   124433.      0.583231     -0.188865E-10
     293   124433.      0.587258     -0.192316E-10
     294   124433.      0.591298     -0.195765E-10
     295   124433.      0.595352     -0.199225E-10
     296   124433.      0.599421     -0.202717E-10
     297   124433.      0.603503     -0.206255E-10
     298   124433.      0.607599     -0.209816E-10
     299   124433.      0.611708     -0.213344E-10
     300   124433.      0.615832     -0.216941E-10
     301   124433.      0.619970     -0.220563E-10
     302   124433.      0.624121     -0.224188E-10
     303   124433.      0.628287     -0.227860E-10
     304   124433.      0.632466     -0.231541E-10
     305   124433.      0.636659     -0.235210E-10
     306   124433.      0.640867     -0.239002E-10
     307   124433.      0.645088     -0.242778E-10
     308   124433.      0.649323     -0.246532E-10
     309   124433.      0.653571     -0.250331E-10
     310   124433.      0.657834     -0.254175E-10
     311   124433.      0.662111     -0.258091E-10
     312   124433.      0.666401     -0.261914E-10
     313   124433.      0.670706     -0.265848E-10
     314   124433.      0.675024     -0.269812E-10
     315   124433.      0.679357     -0.273785E-10
     316   124433.      0.683703     -0.277737E-10
     317   124433.      0.688063     -0.281747E-10
     318   124433.      0.692437     -0.285793E-10
     319   124433.      0.696825     -0.289868E-10
     320   124433.      0.701227     -0.293951E-10
     321   124433.      0.705642     -0.298062E-10
     322   124433.      0.710072     -0.302193E-10
     323   124433.      0.714516     -0.306382E-10
     324   124433.      0.718973     -0.310579E-10
     325   124433.      0.723445     -0.314780E-10
     326   124433.      0.727930     -0.319068E-10
     327   124433.      0.732429     -0.323325E-10
     328   124433.      0.736942     -0.327609E-10
     329   124433.      0.741469     -0.331939E-10
     330   124433.      0.746010     -0.336288E-10
     331   124433.      0.750565     -0.340682E-10
     332   124433.      0.755134     -0.345098E-10
     333   124433.      0.759717     -0.349492E-10
     334   124433.      0.764313     -0.353984E-10
     335   124433.      0.768924     -0.358456E-10
     336   124433.      0.773549     -0.362997E-10
     337   124433.      0.778187     -0.367507E-10
     338   124433.      0.782839     -0.372093E-10
     339   124433.      0.787506     -0.376662E-10
     340   124433.      0.792186     -0.381313E-10
     341   124433.      0.796880     -0.385980E-10
     342   124433.      0.801588     -0.390637E-10
     343   124433.      0.806310     -0.395322E-10
     344   124433.      0.811046     -0.400083E-10
     345   124433.      0.815796     -0.404831E-10
     346   124433.      0.820559     -0.409619E-10
     347   124433.      0.825337     -0.414471E-10
     348   124433.      0.830129     -0.419278E-10
     349   124433.      0.834934     -0.424164E-10
     350   124433.      0.839754     -0.429088E-10
     351   124433.      0.844587     -0.433986E-10
     352   124433.      0.849434     -0.438924E-10
     353   124433.      0.854296     -0.443934E-10
     354   124433.      0.859171     -0.448954E-10
     355   124433.      0.864060     -0.453980E-10
     356   124433.      0.868963     -0.459075E-10
     357   124433.      0.873880     -0.464168E-10
     358   124433.      0.878811     -0.469294E-10
     359   124433.      0.883756     -0.474476E-10
     360   124433.      0.888715     -0.479636E-10
     361   124433.      0.893688     -0.484883E-10
     362   124433.      0.898674     -0.490114E-10
     363   124433.      0.903675     -0.495394E-10
     364   124433.      0.908690     -0.500705E-10
     365   124433.      0.913718     -0.506043E-10
     366   124433.      0.918761     -0.511395E-10
     367   124433.      0.923817     -0.516780E-10
     368   124433.      0.928887     -0.522217E-10
     369   124433.      0.933972     -0.527650E-10
     370   124433.      0.939070     -0.533162E-10
     371   124433.      0.944182     -0.538631E-10
     372   124433.      0.949308     -0.544207E-10
     373   124433.      0.954448     -0.549797E-10
     374   124433.      0.959602     -0.555405E-10
     375   124433.      0.964770     -0.561012E-10
     376   124433.      0.969952     -0.566657E-10
     377   124433.      0.975148     -0.572385E-10
     378   124433.      0.980358     -0.578093E-10
     379   124433.      0.985582     -0.583867E-10
     380   124433.      0.990820     -0.589633E-10
     381   124433.      0.996071     -0.595422E-10
     382   124433.       1.00134     -0.601264E-10
     383   124433.       1.00662     -0.607147E-10
     384   124433.       1.01191     -0.613076E-10
     385   124433.       1.01722     -0.619031E-10
     386   124433.       1.02254     -0.625015E-10
     387   124433.       1.02787     -0.631040E-10
     388   124433.       1.03322     -0.637027E-10
     389   124433.       1.03859     -0.643091E-10
     390   124433.       1.04396     -0.649185E-10
     391   124433.       1.04936     -0.655315E-10
     392   124433.       1.05476     -0.661460E-10
     393   124433.       1.06018     -0.667661E-10
     394   124433.       1.06561     -0.673872E-10
     395   124433.       1.07106     -0.680117E-10
     396   124433.       1.07652     -0.686418E-10
     397   124433.       1.08200     -0.692740E-10
     398   124433.       1.08749     -0.699056E-10
     399   124433.       1.09299     -0.705466E-10
     400   124433.       1.09851     -0.711897E-10
     401   124433.       1.10404     -0.718329E-10
     402   124433.       1.10958     -0.724781E-10
     403   124433.       1.11514     -0.731286E-10
     404   124433.       1.12071     -0.737862E-10
     405   124433.       1.12630     -0.744436E-10
     406   124433.       1.13190     -0.751051E-10
     407   124433.       1.13752     -0.757697E-10
     408   124433.       1.14314     -0.764374E-10
     409   124433.       1.14879     -0.771071E-10
     410   124433.       1.15444     -0.777802E-10
     411   124433.       1.16011     -0.784562E-10
     412   124433.       1.16580     -0.791387E-10
     413   124433.       1.17150     -0.798217E-10
     414   124433.       1.17721     -0.805076E-10
     415   124433.       1.18294     -0.811996E-10
     416   124433.       1.18868     -0.818918E-10
     417   124433.       1.19443     -0.825894E-10
     418   124433.       1.20020     -0.832904E-10
     419   124433.       1.20598     -0.839940E-10
     420   124433.       1.21178     -0.847051E-10
     421   124433.       1.21759     -0.854150E-10
     422   124433.       1.22342     -0.861246E-10
     423   124433.       1.22925     -0.868458E-10
     424   124433.       1.23511     -0.875684E-10
     425   124433.       1.24097     -0.882914E-10
     426   124433.       1.24685     -0.890156E-10
     427   124433.       1.25275     -0.897511E-10
     428   124433.       1.25866     -0.904851E-10
     429   124433.       1.26458     -0.912224E-10
     430   124433.       1.27051     -0.919630E-10
     431   124433.       1.27647     -0.927099E-10
     432   124433.       1.28243     -0.934543E-10
     433   124433.       1.28841     -0.942097E-10
     434   124433.       1.29440     -0.949671E-10
     435   124433.       1.30041     -0.957258E-10
     436   124433.       1.30643     -0.964858E-10
     437   124433.       1.31246     -0.972508E-10
     438   124433.       1.31851     -0.980150E-10
     439   124433.       1.32457     -0.987858E-10
     440   124433.       1.33065     -0.995597E-10
     441   124433.       1.33674     -0.100335E-09
     442   124433.       1.34284     -0.101115E-09
     443   124432.       1.34896     -0.101900E-09
     444   124432.       1.35509     -0.102689E-09
     445   124432.       1.36124     -0.103478E-09
     446   124432.       1.36740     -0.104273E-09
     447   124432.       1.37358     -0.105071E-09
     448   124432.       1.37976     -0.105873E-09
     449   124432.       1.38597     -0.106679E-09
     450   124432.       1.39218     -0.107486E-09
     451   124432.       1.39841     -0.108300E-09
     452   124432.       1.40466     -0.109113E-09
     453   124432.       1.41092     -0.109937E-09
     454   124432.       1.41719     -0.110758E-09
     455   124432.       1.42348     -0.111587E-09
     456   124432.       1.42978     -0.112417E-09
     457   124432.       1.43609     -0.113251E-09
     458   124432.       1.44242     -0.114090E-09
     459   124432.       1.44876     -0.114930E-09
     460   124432.       1.45512     -0.115772E-09
     461   124432.       1.46149     -0.116626E-09
     462   124432.       1.46787     -0.117476E-09
     463   124432.       1.47427     -0.118334E-09
     464   124432.       1.48069     -0.119197E-09
     465   124432.       1.48711     -0.120059E-09
     466   124432.       1.49355     -0.120927E-09
     467   124432.       1.50001     -0.121795E-09
     468   124432.       1.50648     -0.122669E-09
     469   124432.       1.51296     -0.123549E-09
     470   124432.       1.51946     -0.124435E-09
     471   124432.       1.52597     -0.125321E-09
     472   124432.       1.53249     -0.126208E-09
     473   124432.       1.53903     -0.127100E-09
     474   124432.       1.54559     -0.127993E-09
     475   124432.       1.55215     -0.128890E-09
     476   124432.       1.55873     -0.129794E-09
     477   124432.       1.56533     -0.130701E-09
     478   124432.       1.57194     -0.131610E-09
     479   124432.       1.57856     -0.132529E-09
     480   124432.       1.58520     -0.133448E-09
     481   124432.       1.59185     -0.134374E-09
     482   124432.       1.59851     -0.135304E-09
     483   124432.       1.60519     -0.136235E-09
     484   124432.       1.61189     -0.137168E-09
     485   124432.       1.61860     -0.138114E-09
     486   124432.       1.62532     -0.139055E-09
     487   124432.       1.63205     -0.140005E-09
     488   124432.       1.63880     -0.140959E-09
     489   124432.       1.64557     -0.141913E-09
     490   124432.       1.65234     -0.142875E-09
     491   124432.       1.65914     -0.143837E-09
     492   124432.       1.66594     -0.144804E-09
     493   124432.       1.67276     -0.145776E-09
     494   124432.       1.67959     -0.146750E-09
     495   124432.       1.68644     -0.147731E-09
     496   124432.       1.69330     -0.148716E-09
     497   124432.       1.70018     -0.149701E-09
     498   124432.       1.70707     -0.150694E-09
     499   124432.       1.71398     -0.151690E-09
     500   124432.       1.72089     -0.152686E-09
     501   124432.       1.72783     -0.153691E-09
     502   124432.       1.73477     -0.154700E-09
     503   124432.       1.74173     -0.155712E-09
     504   124432.       1.74871     -0.156723E-09
     505   124432.       1.75570     -0.157745E-09
     506   124432.       1.76270     -0.158770E-09
     507   124432.       1.76972     -0.159795E-09
     508   124432.       1.77675     -0.160829E-09
     509   124432.       1.78379     -0.161865E-09
     510   124432.       1.79085     -0.162903E-09
     511   124432.       1.79792     -0.163950E-09
     512   124432.       1.80501     -0.164996E-09
     513   124432.       1.81211     -0.166047E-09
     514   124432.       1.81923     -0.167103E-09
     515   124432.       1.82636     -0.168163E-09
     516   124432.       1.83350     -0.169228E-09
     517   124432.       1.84066     -0.170293E-09
     518   124432.       1.84783     -0.171370E-09
     519   124432.       1.85501     -0.172442E-09
     520   124432.       1.86221     -0.173530E-09
     521   124432.       1.86943     -0.174609E-09
     522   124432.       1.87665     -0.175699E-09
     523   124432.       1.88390     -0.176790E-09
     524   124432.       1.89115     -0.177887E-09
     525   124432.       1.89842     -0.178996E-09
     526   124432.       1.90571     -0.180100E-09
     527   124432.       1.91300     -0.181208E-09
     528   124432.       1.92032     -0.182324E-09
     529   124432.       1.92764     -0.183446E-09
     530   124432.       1.93498     -0.184565E-09
     531   124432.       1.94234     -0.185690E-09
     532   124432.       1.94971     -0.186825E-09
     533   124432.       1.95709     -0.187958E-09
     534   124432.       1.96449     -0.189100E-09
     535   124432.       1.97190     -0.190243E-09
     536   124432.       1.97932     -0.191388E-09
     537   124432.       1.98676     -0.192544E-09
     538   124432.       1.99422     -0.193698E-09
     539   124432.       2.00168     -0.194858E-09
     540   124432.       2.00916     -0.196028E-09
     541   124432.       2.01666     -0.197198E-09
     542   124432.       2.02417     -0.198371E-09
     543   124432.       2.03169     -0.199551E-09
     544   124432.       2.03923     -0.200730E-09
     545   124432.       2.04678     -0.201914E-09
     546   124432.       2.05435     -0.203111E-09
     547   124432.       2.06193     -0.204305E-09
     548   124432.       2.06952     -0.205504E-09
     549   124432.       2.07713     -0.206709E-09
     550   124432.       2.08476     -0.207916E-09
     551   124432.       2.09239     -0.209129E-09
     552   124432.       2.10004     -0.210345E-09
     553   124432.       2.10771     -0.211570E-09
     554   124432.       2.11539     -0.212794E-09
     555   124432.       2.12308     -0.214026E-09
     556   124432.       2.13079     -0.215262E-09
     557   124432.       2.13851     -0.216501E-09
     558   124432.       2.14624     -0.217748E-09
     559   124432.       2.15399     -0.218992E-09
     560   124432.       2.16176     -0.220250E-09
     561   124432.       2.16954     -0.221507E-09
     562   124432.       2.17733     -0.222767E-09
     563   124432.       2.18513     -0.224033E-09
     564   124432.       2.19295     -0.225307E-09
     565   124432.       2.20079     -0.226581E-09
     566   124432.       2.20864     -0.227857E-09
     567   124432.       2.21650     -0.229144E-09
     568   124432.       2.22438     -0.230432E-09
     569   124432.       2.23227     -0.231724E-09
     570   124432.       2.24017     -0.233020E-09
     571   124432.       2.24809     -0.234325E-09
     572   124432.       2.25602     -0.235631E-09
     573   124432.       2.26397     -0.236944E-09
     574   124432.       2.27193     -0.238258E-09
     575   124432.       2.27991     -0.239579E-09
     576   124432.       2.28790     -0.240906E-09
     577   124432.       2.29590     -0.242235E-09
     578   124432.       2.30392     -0.243567E-09
     579   124432.       2.31195     -0.244907E-09
     580   124432.       2.32000     -0.246249E-09
     581   124432.       2.32806     -0.247601E-09
     582   124432.       2.33614     -0.248949E-09
     583   124432.       2.34422     -0.250309E-09
     584   124431.       2.35233     -0.251674E-09
     585   124431.       2.36044     -0.253034E-09
     586   124431.       2.36858     -0.254409E-09
     587   124431.       2.37672     -0.255784E-09
     588   124431.       2.38488     -0.257167E-09
     589   124431.       2.39305     -0.258553E-09
     590   124431.       2.40124     -0.259940E-09
     591   124431.       2.40944     -0.261337E-09
     592   124431.       2.41766     -0.262736E-09
     593   124431.       2.42589     -0.264137E-09
     594   124431.       2.43414     -0.265547E-09
     595   124431.       2.44239     -0.266962E-09
     596   124431.       2.45067     -0.268380E-09
     597   124431.       2.45895     -0.269799E-09
     598   124431.       2.46726     -0.271231E-09
     599   124431.       2.47557     -0.272663E-09
     600   124431.       2.48390     -0.274101E-09
     601   124431.       2.49225     -0.275541E-09
     602   124431.       2.50060     -0.276990E-09
     603   124431.       2.50898     -0.278438E-09
     604   124431.       2.51736     -0.279895E-09
     605   124431.       2.52576     -0.281356E-09
     606   124431.       2.53418     -0.282823E-09
     607   124431.       2.54261     -0.284294E-09
     608   124431.       2.55105     -0.285768E-09
     609   124431.       2.55951     -0.287247E-09
     610   124431.       2.56798     -0.288733E-09
     611   124431.       2.57646     -0.290223E-09
     612   124431.       2.58496     -0.291721E-09
     613   124431.       2.59348     -0.293219E-09
     614   124431.       2.60200     -0.294722E-09
     615   124431.       2.61055     -0.296232E-09
     616   124431.       2.61910     -0.297747E-09
     617   124431.       2.62767     -0.299264E-09
     618   124431.       2.63626     -0.300792E-09
     619   124431.       2.64486     -0.302316E-09
     620   124431.       2.65347     -0.303852E-09
     621   124431.       2.66210     -0.305389E-09
     622   124431.       2.67074     -0.306930E-09
     623   124431.       2.67940     -0.308482E-09
     624   124431.       2.68807     -0.310034E-09
     625   124431.       2.69675     -0.311593E-09
     626   124431.       2.70545     -0.313158E-09
     627   124431.       2.71416     -0.314728E-09
     628   124431.       2.72289     -0.316293E-09
     629   124431.       2.73163     -0.317876E-09
     630   124431.       2.74038     -0.319474E-09
     631   124431.       2.74915     -0.321083E-09
     632   124431.       2.75794     -0.322700E-09
     633   124431.       2.76674     -0.324320E-09
     634   124431.       2.77555     -0.325944E-09
     635   124431.       2.78437     -0.327579E-09
     636   124431.       2.79321     -0.329213E-09
     637   124431.       2.80207     -0.330855E-09
     638   124431.       2.81094     -0.332500E-09
     639   124431.       2.81982     -0.334154E-09
     640   124431.       2.82872     -0.335808E-09
