# gnuplot data generated by MooNMD
#          x           y           p         psi         u-1         u-2         |u|
#
  1.87500000  2.50000000 -0.11531568  2.23641242  0.95647601  0.05243647  0.95791228
  1.25000000  2.50000000 -0.12597038  2.33583755  0.96996054  0.04855352  0.97117501
  1.25000000  2.00000000 -0.11090322  1.85078424  0.97131005  0.05207635  0.97270507


  2.50000000  2.00000000 -0.09102872  1.66545355  0.93392532  0.06307092  0.93605259
  2.50000000  2.50000000 -0.10879262  2.13405900  0.94343176  0.06133066  0.94542316
  1.87500000  2.50000000 -0.11624635  2.23641242  0.95647601  0.05243647  0.95791228
  1.87500000  2.00000000 -0.09848245  1.75932324  0.95417001  0.05317954  0.95565081
  2.50000000  2.00000000 -0.09102872  1.66545355  0.93392532  0.06307092  0.93605259


  0.00000000  3.00000000 -0.16950286  2.92285046  1.00000000  0.00000000  1.00000000
  0.00000000  2.50000000 -0.15592806  2.43249386  1.00000000  0.00000000  1.00000000
  0.62500000  2.50000000 -0.13873640  2.42608684  0.98297284  0.02163856  0.98321098
  0.62500000  3.00000000 -0.15231119  2.91755665  0.98284594  0.01809285  0.98301246
  0.00000000  3.00000000 -0.16950286  2.92285046  1.00000000  0.00000000  1.00000000


  0.00000000  2.00000000 -0.13925402  1.94213733  1.00000000  0.00000000  1.00000000
  0.62500000  2.00000000 -0.12259467  1.93433161  0.98372521  0.02548651  0.98405531
  0.62500000  2.50000000 -0.13905010  2.42608684  0.98297284  0.02163856  0.98321098
  0.00000000  2.50000000 -0.15570946  2.43249386  1.00000000  0.00000000  1.00000000
  0.00000000  2.00000000 -0.13925402  1.94213733  1.00000000  0.00000000  1.00000000


  1.25000000  2.00000000 -0.11085615  1.85078424  0.97131005  0.05207635  0.97270507
  1.25000000  2.50000000 -0.12585571  2.33583755  0.96996054  0.04855352  0.97117501
  0.62500000  2.50000000 -0.13874167  2.42608684  0.98297284  0.02163856  0.98321098
  0.62500000  2.00000000 -0.12374210  1.93433161  0.98372521  0.02548651  0.98405531
  1.25000000  2.00000000 -0.11085615  1.85078424  0.97131005  0.05207635  0.97270507


  1.25000000  3.00000000 -0.13898223  2.82077360  0.97021050  0.04305506  0.97116536
  0.62500000  3.00000000 -0.15225218  2.91755665  0.98284594  0.01809285  0.98301246
  0.62500000  2.50000000 -0.13905136  2.42608684  0.98297284  0.02163856  0.98321098
  1.25000000  2.50000000 -0.12578141  2.33583755  0.96996054  0.04855352  0.97117501
  1.25000000  3.00000000 -0.13898223  2.82077360  0.97021050  0.04305506  0.97116536


  0.00000000  3.00000000 -0.16954310  2.92285046  1.00000000  0.00000000  1.00000000
  0.62500000  3.00000000 -0.15224327  2.91755665  0.98284594  0.01809285  0.98301246
  0.62500000  3.50000000 -0.16326266  3.40895160  0.98278743  0.01466937  0.98289690
  0.00000000  3.50000000 -0.18056249  3.41320707  1.00000000  0.00000000  1.00000000
  0.00000000  3.00000000 -0.16954310  2.92285046  1.00000000  0.00000000  1.00000000


  1.25000000  3.00000000 -0.13899783  2.82077360  0.97021050  0.04305506  0.97116536
  1.25000000  3.50000000 -0.14991917  3.30590585  0.97055029  0.03621624  0.97122576
  0.62500000  3.50000000 -0.16323136  3.40895160  0.98278743  0.01466937  0.98289690
  0.62500000  3.00000000 -0.15231003  2.91755665  0.98284594  0.01809285  0.98301246
  1.25000000  3.00000000 -0.13899783  2.82077360  0.97021050  0.04305506  0.97116536


  1.25000000  4.00000000 -0.15839538  3.79119382  0.97067576  0.02853591  0.97109511
  0.62500000  4.00000000 -0.17176897  3.90031826  0.98272080  0.01128444  0.98278558
  0.62500000  3.50000000 -0.16326097  3.40895160  0.98278743  0.01466937  0.98289690
  1.25000000  3.50000000 -0.14988738  3.30590585  0.97055029  0.03621624  0.97122576
  1.25000000  4.00000000 -0.15839538  3.79119382  0.97067576  0.02853591  0.97109511


  0.00000000  4.00000000 -0.18915278  3.90356359  1.00000000  0.00000000  1.00000000
  0.00000000  3.50000000 -0.18057948  3.41320707  1.00000000  0.00000000  1.00000000
  0.62500000  3.50000000 -0.16324414  3.40895160  0.98278743  0.01466937  0.98289690
  0.62500000  4.00000000 -0.17181744  3.90031826  0.98272080  0.01128444  0.98278558
  0.00000000  4.00000000 -0.18915278  3.90356359  1.00000000  0.00000000  1.00000000


